,Product Name,URL,Campaign Start,Campaign End,Attribution Revenue,Attribution Orders,Attribution Avg Price,Attribution COGS,Attribution Gross Profit,Attribution Net Profit,Attribution ROI (%),Attribution ROAS,Extended Revenue,Extended Orders,Total Revenue,Total Orders,Total Avg Price,Total COGS,Total Gross Profit,Total Net Profit,Total ROI (%),Total ROAS,Ad Spend,Impressions,Clicks,CTR (%),Conversion Rate (%),Attribution Window Revenue (%),Extended Window Revenue (%),CPA,Profit Margin (%),Total Profit Margin (%),Original Campaign,Product Count,campaignName,Total Refunds,Total Refund Value,Refund Rate,Total Disputes,Dispute Rate,Top Refund Reasons
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Global Refund Metrics,12.0,628.05,6.451612903225806,0.0,0.0,"[[""No reason provided"", 9], [""Wrong sizes "", 1], [""late shipping "", 1], [""he want 1 pair instead of 2 "", 1]]"
2,Classic Herringbone Trousers [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.424,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.424,-100.0,0.0,23.424,1446.0,46.0,3.18118948824343,0.0,0.0,0.0,,,,,,,,,,,,
3,Christmas Snowman Sweater [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-22.876799999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.876799999999996,-100.0,0.0,22.876799999999996,1657.0,24.0,1.448400724200362,0.0,0.0,0.0,,,,,,,,,,,,
4,Elegant Wool Beret [No Sales Found],,2024-12-23 00:00:00+00:00,2024-12-30 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.043200000000002,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.043200000000002,-100.0,0.0,27.043200000000002,1070.0,29.0,2.710280373831776,0.0,0.0,0.0,,,,,,,,,,,,
5,Stylish Striped Sports Tracksuit [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-26.7072,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.7072,-100.0,0.0,26.7072,1712.0,236.0,13.785046728971961,0.0,0.0,0.0,,,,,,,,,,,,
6,Elegant Men's Fur-lined Winter Coat [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-15.1776,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.1776,-100.0,0.0,15.1776,1283.0,29.0,2.260327357755261,0.0,0.0,0.0,,,,,,,,,,,,
7,Sparkling Long-sleeved Sequin Mini Dress [No Sales Found],,2024-12-27 00:00:00+00:00,2025-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-14.879999999999999,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.879999999999999,-100.0,0.0,14.879999999999999,739.0,20.0,2.706359945872801,0.0,0.0,0.0,,,,,,,,,,,,
8,Classic Leather Jacket,https://dd3662-08.myshopify.com/products/822382575036137472,2024-12-30 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-28.5216,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28.5216,-100.0,0.0,28.5216,1661.0,172.0,10.355207706201083,0.0,0.0,0.0,,,,,,,,,,,,
9,Casual Long-sleeved Men's Shirt [No Sales Found],,2024-12-30 00:00:00+00:00,2025-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-37.007999999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.007999999999996,-100.0,0.0,37.007999999999996,2384.0,334.0,14.01006711409396,0.0,0.0,0.0,,,,,,,,,,,,
10,Men's Cashmere Sweater,https://dd3662-08.myshopify.com/products/799690274665136128,2024-12-31 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-37.6896,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.6896,-100.0,0.0,37.6896,2386.0,357.0,14.962279966471081,0.0,0.0,0.0,,,,,,,,,,,,
11,Stylish Button-down Cardigan [No Sales Found],,2024-12-31 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-110.2176,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.2176,-100.0,0.0,110.2176,7442.0,931.0,12.5100779360387,0.0,0.0,0.0,,,,,,,,,,,,
12,Warm and Elegant Hooded Fur and Leather Jacket [No Sales Found],,2024-12-31 00:00:00+00:00,2025-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-32.9856,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.9856,-100.0,0.0,32.9856,2591.0,116.0,4.477035893477422,0.0,0.0,0.0,,,,,,,,,,,,
13,Warm Knitted Sweater,https://dd3662-08.myshopify.com/products/799690284593053696,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-49.3632,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.3632,-100.0,0.0,49.3632,3030.0,215.0,7.095709570957095,0.0,0.0,0.0,,,,,,,,,,,,
14,Cashmere and Wool Patchwork Print Sweater,https://dd3662-08.myshopify.com/products/799690292369293312,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-49.4304,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.4304,-100.0,0.0,49.4304,3923.0,83.0,2.1157277593678305,0.0,0.0,0.0,,,,,,,,,,,,
15,Cozy Graphic Sweater,https://dd3662-08.myshopify.com/products/799690288124657664,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-50.1888,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.1888,-100.0,0.0,50.1888,5763.0,112.0,1.9434322401526982,0.0,0.0,0.0,,,,,,,,,,,,
16,Soft Fur-lined Slippers,https://dd3662-08.myshopify.com/products/soft-fur-lined-slippersneed-to-delete,2025-01-01 00:00:00+00:00,2025-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-51.0144,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.0144,-100.0,0.0,51.0144,4648.0,157.0,3.377796901893287,0.0,0.0,0.0,,,,,,,,,,,,
17,Women's Leather Ankle Boots [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.0256,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.0256,-100.0,0.0,38.0256,2070.0,99.0,4.782608695652174,0.0,0.0,0.0,,,,,,,,,,,,
18,"Comfortable, Waterproof Cargo Pants [No Sales Found]",,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.1216,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.1216,-100.0,0.0,38.1216,1626.0,47.0,2.890528905289053,0.0,0.0,0.0,,,,,,,,,,,,
19,Elegant Classic Wool Winter coat [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-47.587199999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.587199999999996,-100.0,0.0,47.587199999999996,3942.0,77.0,1.9533231861998983,0.0,0.0,0.0,,,,,,,,,,,,
20,Cherry Print Oversized Jacket [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-48.681599999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.681599999999996,-100.0,0.0,48.681599999999996,3295.0,84.0,2.549317147192716,0.0,0.0,0.0,,,,,,,,,,,,
21,High Waisted Sculpting Cargo Pants [No Sales Found],,2025-01-02 00:00:00+00:00,2025-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-29.510399999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.510399999999997,-100.0,0.0,29.510399999999997,1739.0,53.0,3.0477285796434734,0.0,0.0,0.0,,,,,,,,,,,,
22,Warm Winter Wool Sweater,https://dd3662-08.myshopify.com/products/801107170488745984,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.9664,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.9664,-100.0,0.0,38.9664,2495.0,88.0,3.527054108216433,0.0,0.0,0.0,,,,,,,,,,,,
23,Elegant Cozy Cardigan,https://dd3662-08.myshopify.com/products/811654167083876352,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-44.9376,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.9376,-100.0,0.0,44.9376,3306.0,189.0,5.716878402903811,0.0,0.0,0.0,,,,,,,,,,,,
24,Pullover Hooded Sweater,https://dd3662-08.myshopify.com/products/801107176633401344,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.2176,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.2176,-100.0,0.0,38.2176,3477.0,65.0,1.8694276675294794,0.0,0.0,0.0,,,,,,,,,,,,
25,Luxurious Glitter Knit Zip-up Sweater [No Sales Found],,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-41.020799999999994,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41.020799999999994,-100.0,0.0,41.020799999999994,1576.0,162.0,10.279187817258883,0.0,0.0,0.0,,,,,,,,,,,,
26,Classic Fur-lined Leather Jacket,https://dd3662-08.myshopify.com/products/801107163022884864,2025-01-03 00:00:00+00:00,2025-01-10 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-40.559999999999995,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40.559999999999995,-100.0,0.0,40.559999999999995,3498.0,74.0,2.115494568324757,0.0,0.0,0.0,,,,,,,,,,,,
27,Comfortable Elegant Pleated Dress,https://dd3662-08.myshopify.com/products/819597925712658432,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.0272,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.0272,-100.0,0.0,25.0272,1401.0,54.0,3.854389721627409,0.0,0.0,0.0,,,,,,,,,,,,
28,Balaclava Hooded Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.1424,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.1424,-100.0,0.0,25.1424,3039.0,56.0,1.8427114182296807,0.0,0.0,0.0,,,,,,,,,,,,
29,Stylish Quilted Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-74.8992,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-74.8992,-100.0,0.0,74.8992,3111.0,212.0,6.814529090324655,0.0,0.0,0.0,,,,,,,,,,,,
30,Stylish Winter Boots,https://dd3662-08.myshopify.com/products/818915579950792704,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-25.5744,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.5744,-100.0,0.0,25.5744,1722.0,67.0,3.8908246225319396,0.0,0.0,0.0,,,,,,,,,,,,
31,Sporty Hooded Winter Jacket [No Sales Found],,2025-01-04 00:00:00+00:00,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.383999999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.383999999999997,-100.0,0.0,24.383999999999997,2397.0,19.0,0.7926574885273258,0.0,0.0,0.0,,,,,,,,,,,,
32,Glittery Long-Sleeved Fringe Dress [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-29.232,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.232,-100.0,0.0,29.232,2294.0,47.0,2.048823016564952,0.0,0.0,0.0,,,,,,,,,,,,
33,Warm Down Jacket [No Sales Found],,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-87.30239999999999,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.30239999999999,-100.0,0.0,87.30239999999999,5387.0,233.0,4.325227399294598,0.0,0.0,0.0,,,,,,,,,,,,
34,Stand Collar Quilted Winter Jacket,https://dd3662-08.myshopify.com/products/801492869842993152,2025-01-05 00:00:00+00:00,2025-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-27.8112,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.8112,-100.0,0.0,27.8112,2365.0,56.0,2.367864693446089,0.0,0.0,0.0,,,,,,,,,,,,
35,Soft Cashmere Zip-up Jacket,https://dd3662-08.myshopify.com/products/801492858103136256,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-39.446400000000004,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.446400000000004,-100.0,0.0,39.446400000000004,2310.0,108.0,4.675324675324675,0.0,0.0,0.0,,,,,,,,,,,,
36,Stretchy High-waisted Wide Leg Pants [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-38.928,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.928,-100.0,0.0,38.928,1964.0,78.0,3.971486761710794,0.0,0.0,0.0,,,,,,,,,,,,
37,Elegant Classic Plaid Print Dress [No Sales Found],,2025-01-06 00:00:00+00:00,2025-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-35.9232,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-35.9232,-100.0,0.0,35.9232,2424.0,60.0,2.4752475247524752,0.0,0.0,0.0,,,,,,,,,,,,
38,Collection C05 - Not Found in Shopify,,2025-01-07 00:00:00+00:00,2025-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-79.488,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.488,-100.0,0.0,79.488,3858.0,139.0,3.602903058579575,0.0,0.0,0.0,,,,,,,,,,,,
39,Collection C06 - Not Found in Shopify,,2025-01-08 00:00:00+00:00,2025-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-100.0896,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0896,-100.0,0.0,100.0896,8074.0,187.0,2.316076294277929,0.0,0.0,0.0,,,,,,,,,,,,
40,"Timeless, Warm and Stylish Coat",https://dd3662-08.myshopify.com/products/806207374757986304,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-20.831999999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.831999999999997,-100.0,0.0,20.831999999999997,1169.0,33.0,2.8229255774165956,0.0,0.0,0.0,,,,,,,,,,,,
41,Warm Knitted Comfy Sweater,https://dd3662-08.myshopify.com/products/806207426087878656,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-21.696,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.696,-100.0,0.0,21.696,952.0,19.0,1.9957983193277309,0.0,0.0,0.0,,,,,,,,,,,,
42,Dress with Long Sleeve Top,https://dd3662-08.myshopify.com/products/806207436309397504,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-30.816,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.816,-100.0,0.0,30.816,3163.0,37.0,1.1697755295605439,0.0,0.0,0.0,,,,,,,,,,,,
43,Collection C07 - Not Found in Shopify,,2025-01-09 00:00:00+00:00,2025-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-31.622399999999995,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.622399999999995,-100.0,0.0,31.622399999999995,997.0,47.0,4.714142427281845,0.0,0.0,0.0,,,,,,,,,,,,
44,Elegant and Comfortable Dress,https://dd3662-08.myshopify.com/products/806626968605818880,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-42.7104,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.7104,-100.0,0.0,42.7104,2242.0,47.0,2.096342551293488,0.0,0.0,0.0,,,,,,,,,,,,
45,Windproof Wool Jacket,https://dd3662-08.myshopify.com/products/806626977787150336,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-44.755199999999995,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.755199999999995,-100.0,0.0,44.755199999999995,3255.0,101.0,3.1029185867895546,0.0,0.0,0.0,,,,,,,,,,,,
46,Essential Winter Jacket,https://dd3662-08.myshopify.com/products/805472670165499904,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-22.3008,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.3008,-100.0,0.0,22.3008,1465.0,22.0,1.5017064846416381,0.0,0.0,0.0,,,,,,,,,,,,
47,Cheerful Colorful Turtleneck,https://dd3662-08.myshopify.com/products/806626983235551232,2025-01-10 00:00:00+00:00,2025-01-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-21.5424,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.5424,-100.0,0.0,21.5424,1150.0,18.0,1.565217391304348,0.0,0.0,0.0,,,,,,,,,,,,
48,Lambskin Leather Jacket,https://dd3662-08.myshopify.com/products/806948586053959680,2025-01-11 00:00:00+00:00,2025-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.6144,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.6144,-100.0,0.0,24.6144,1510.0,38.0,2.5165562913907285,0.0,0.0,0.0,,,,,,,,,,,,
49,Soft Winter Pullover,https://dd3662-08.myshopify.com/products/806948588411158528,2025-01-11 00:00:00+00:00,2025-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-21.696,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.696,-100.0,0.0,21.696,2353.0,24.0,1.019974500637484,0.0,0.0,0.0,,,,,,,,,,,,
50,Chic Winter Jacket,https://dd3662-08.myshopify.com/products/806948598641065984,2025-01-11 00:00:00+00:00,2025-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.203200000000002,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.203200000000002,-100.0,0.0,23.203200000000002,1514.0,40.0,2.642007926023778,0.0,0.0,0.0,,,,,,,,,,,,
51,Casual Leather Sneakers,https://dd3662-08.myshopify.com/products/806948590848049152,2025-01-11 00:00:00+00:00,2025-01-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-21.216,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.216,-100.0,0.0,21.216,1428.0,10.0,0.700280112044818,0.0,0.0,0.0,,,,,,,,,,,,
52,Lambskin Leather Jacket,https://dd3662-08.myshopify.com/products/806948586053959680,2025-01-14 00:00:00+00:00,2025-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-26.736,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.736,-100.0,0.0,26.736,2349.0,45.0,1.9157088122605364,0.0,0.0,0.0,,,,,,,,,,,,
53,Elegant Unisex Marten Boots,https://dd3662-08.myshopify.com/products/806948595847659520,2025-01-14 00:00:00+00:00,2025-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-24.576,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.576,-100.0,0.0,24.576,2755.0,29.0,1.0526315789473684,0.0,0.0,0.0,,,,,,,,,,,,
54,Collection C08 - Not Found in Shopify,,2025-01-14 00:00:00+00:00,2025-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-23.510399999999997,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.510399999999997,-100.0,0.0,23.510399999999997,911.0,32.0,3.512623490669594,0.0,0.0,0.0,,,,,,,,,,,,
55,Stylish Winter Jacket,https://dd3662-08.myshopify.com/products/806948602529185792,2025-01-14 00:00:00+00:00,2025-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-85.8432,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85.8432,-100.0,0.0,85.8432,13074.0,92.0,0.7036867064402631,0.0,0.0,0.0,,,,,,,,,,,,
56,Elegant Fleece-lined Coat,https://dd3662-08.myshopify.com/products/809786494041456640,2025-01-19 00:00:00+00:00,2025-01-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,-66.3744,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.3744,-100.0,0.0,66.3744,12516.0,332.0,2.652604666027485,0.0,0.0,0.0,,,,,,,,,,,,
57,Walking Leather Shoes,https://dd3662-08.myshopify.com/products/809786393432686592,2025-01-19 00:00:00+00:00,2025-01-26 00:00:00+00:00,64.95,1.0,64.95,25.980000000000004,38.97,-39.289199999999994,-50.20393768400392,0.829934371933268,0.0,0.0,64.95,1.0,64.95,25.980000000000004,38.97,-39.289199999999994,-50.20393768400392,0.829934371933268,78.25919999999999,9328.0,220.0,2.358490566037736,0.45454545454545453,100.0,0.0,78.25919999999999,-60.49145496535796,-60.49145496535796,,,,,,,,,
